tick,r1
1,3.77e-05
2,3.81572222e-05
3,3.82077778e-05
4,3.68922222e-05
5,3.84416667e-05
6,3.75477778e-05
7,3.88016667e-05
8,3.93794444e-05
9,4.09238889e-05
10,4.33594444e-05
11,3.9975e-05
12,3.87005556e-05
13,3.9615e-05
14,3.73527778e-05
15,3.76938889e-05
16,3.80016667e-05
17,3.7435e-05
18,3.79988889e-05
19,4.04194444e-05
20,3.86461111e-05
