tick,r1
1,4.26341667e-05
2,4.54409259e-05
3,0.000233181944
4,0.000247165278
5,0.000171588611
6,0.000110999722
7,7.23297222e-05
8,5.06463889e-05
9,4.81641667e-05
10,5.02119444e-05
11,5.70575e-05
12,6.44941667e-05
13,6.52030556e-05
14,5.00086111e-05
15,3.87034259e-05
16,4.32369444e-05
17,5.10413889e-05
18,5.83425e-05
19,6.28602778e-05
20,6.89636111e-05
