tick,u1,u2,u3,u4,u5,u6,u7,u8
177,30,0,0,30,0,0,0,0
178,30,0,0,30,0,0,0,0
179,30,0,0,30,0,0,0,0
180,30,0,0,30,0,0,0,0
181,10,0,0,10,0,0,0,0
182,10,0,0,10,0,0,0,0
183,10,0,0,10,0,0,0,0
184,10,0,0,10,0,0,0,0
185,10,0,0,10,0,0,0,0
186,10,0,0,10,0,0,0,0
187,10,0,0,10,0,0,0,0
188,10,0,0,10,0,0,0,0
189,10,0,0,10,0,0,0,0
190,10,0,0,10,0,0,0,0
191,30,0,0,30,0,0,0,0
192,30,0,0,30,0,0,0,0
193,30,0,0,30,0,0,0,0
194,30,0,0,30,0,0,0,0
195,30,0,0,30,0,0,0,0
196,10,0,0,10,0,0,0,0
197,10,0,0,10,0,0,0,0
198,10,0,0,10,0,0,0,0
199,10,0,0,10,0,0,0,0
200,10,0,0,10,0,0,0,0
201,10,0,0,30,0,0,0,0
202,10,0,0,30,0,0,0,0
203,10,0,0,30,0,0,0,0
204,10,0,0,30,0,0,0,0
205,10,0,0,30,0,0,0,0
206,10,0,0,30,0,0,0,0
207,10,0,0,30,0,0,0,0
208,10,0,0,30,0,0,0,0
209,10,0,0,30,0,0,0,0
210,10,0,0,30,0,0,0,0
211,10,0,0,10,0,0,0,0
212,10,0,0,10,0,0,0,0
213,10,0,0,10,0,0,0,0
214,10,0,0,10,0,0,0,0
215,10,0,0,10,0,0,0,0
216,10,0,0,30,0,0,0,0
217,10,0,0,30,0,0,0,0
218,10,0,0,30,0,0,0,0
219,10,0,0,30,0,0,0,0
220,10,0,0,30,0,0,0,0
221,30,0,0,30,0,0,0,0
222,30,0,0,30,0,0,0,0
223,30,0,0,30,0,0,0,0
224,30,0,0,30,0,0,0,0
225,30,0,0,30,0,0,0,0
226,10,0,0,30,0,0,0,0
227,10,0,0,30,0,0,0,0
228,10,0,0,30,0,0,0,0
229,10,0,0,30,0,0,0,0
230,10,0,0,30,0,0,0,0
231,10,0,0,30,0,0,0,0
232,10,0,0,30,0,0,0,0
233,10,0,0,30,0,0,0,0
234,10,0,0,30,0,0,0,0
235,10,0,0,30,0,0,0,0
236,30,0,0,30,0,0,0,0
237,30,0,0,30,0,0,0,0
238,30,0,0,30,0,0,0,0
239,30,0,0,30,0,0,0,0
240,30,0,0,30,0,0,0,0
241,10,0,0,30,0,0,0,0
242,10,0,0,30,0,0,0,0
243,10,0,0,30,0,0,0,0
244,10,0,0,30,0,0,0,0
245,10,0,0,30,0,0,0,0
246,30,0,0,10,0,0,0,0
247,30,0,0,10,0,0,0,0
248,30,0,0,10,0,0,0,0
249,30,0,0,10,0,0,0,0
250,30,0,0,10,0,0,0,0
251,10,0,0,10,0,0,0,0
252,10,0,0,10,0,0,0,0
253,10,0,0,10,0,0,0,0
254,10,0,0,10,0,0,0,0
255,10,0,0,10,0,0,0,0
256,10,0,0,30,0,0,0,0
257,10,0,0,30,0,0,0,0
258,10,0,0,30,0,0,0,0
259,10,0,0,30,0,0,0,0
260,10,0,0,30,0,0,0,0
261,30,0,0,10,0,0,0,0
262,30,0,0,10,0,0,0,0
263,30,0,0,10,0,0,0,0
264,30,0,0,10,0,0,0,0
265,30,0,0,10,0,0,0,0
266,30,0,0,10,0,0,0,0
267,30,0,0,10,0,0,0,0
268,30,0,0,10,0,0,0,0
269,30,0,0,10,0,0,0,0
270,30,0,0,10,0,0,0,0
271,30,0,0,30,0,0,0,0
272,30,0,0,30,0,0,0,0
273,30,0,0,30,0,0,0,0
274,30,0,0,30,0,0,0,0
275,30,0,0,30,0,0,0,0
276,10,0,0,30,0,0,0,0
277,10,0,0,30,0,0,0,0
278,10,0,0,30,0,0,0,0
279,10,0,0,30,0,0,0,0
280,10,0,0,30,0,0,0,0
281,30,0,0,10,0,0,0,0
282,30,0,0,10,0,0,0,0
283,30,0,0,10,0,0,0,0
284,30,0,0,10,0,0,0,0
285,30,0,0,10,0,0,0,0
286,30,0,0,30,0,0,0,0
287,30,0,0,30,0,0,0,0
288,30,0,0,30,0,0,0,0
289,30,0,0,30,0,0,0,0
290,30,0,0,30,0,0,0,0
291,10,0,0,10,0,0,0,0
292,10,0,0,10,0,0,0,0
293,10,0,0,10,0,0,0,0
294,10,0,0,10,0,0,0,0
295,10,0,0,10,0,0,0,0
296,30,0,0,30,0,0,0,0
297,30,0,0,30,0,0,0,0
298,30,0,0,30,0,0,0,0
299,30,0,0,30,0,0,0,0
300,30,0,0,30,0,0,0,0
301,10,0,0,10,0,0,0,0
302,10,0,0,10,0,0,0,0
303,10,0,0,10,0,0,0,0
304,10,0,0,10,0,0,0,0
305,10,0,0,10,0,0,0,0
306,10,0,0,10,0,0,0,0
307,10,0,0,10,0,0,0,0
308,10,0,0,10,0,0,0,0
309,10,0,0,10,0,0,0,0
310,10,0,0,10,0,0,0,0
311,10,0,0,30,0,0,0,0
312,10,0,0,30,0,0,0,0
313,10,0,0,30,0,0,0,0
314,10,0,0,30,0,0,0,0
315,10,0,0,30,0,0,0,0
316,30,0,0,30,0,0,0,0
317,30,0,0,30,0,0,0,0
318,30,0,0,30,0,0,0,0
319,30,0,0,30,0,0,0,0
320,30,0,0,30,0,0,0,0
321,30,0,0,10,0,0,0,0
322,30,0,0,10,0,0,0,0
323,30,0,0,10,0,0,0,0
324,30,0,0,10,0,0,0,0
325,30,0,0,10,0,0,0,0
326,30,0,0,10,0,0,0,0
327,30,0,0,10,0,0,0,0
328,30,0,0,10,0,0,0,0
329,30,0,0,10,0,0,0,0
330,30,0,0,10,0,0,0,0
331,30,0,0,30,0,0,0,0
332,30,0,0,30,0,0,0,0
333,30,0,0,30,0,0,0,0
334,30,0,0,30,0,0,0,0
335,30,0,0,30,0,0,0,0
336,10,0,0,30,0,0,0,0
337,10,0,0,30,0,0,0,0
338,10,0,0,30,0,0,0,0
339,10,0,0,30,0,0,0,0
340,10,0,0,30,0,0,0,0
341,10,0,0,10,0,0,0,0
342,10,0,0,10,0,0,0,0
343,10,0,0,10,0,0,0,0
344,10,0,0,10,0,0,0,0
345,10,0,0,10,0,0,0,0
346,30,0,0,10,0,0,0,0
347,30,0,0,10,0,0,0,0
348,30,0,0,10,0,0,0,0
349,30,0,0,10,0,0,0,0
350,30,0,0,10,0,0,0,0
351,30,0,0,10,0,0,0,0
352,30,0,0,10,0,0,0,0
353,30,0,0,10,0,0,0,0
354,30,0,0,10,0,0,0,0
355,30,0,0,10,0,0,0,0
