tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,y1,y2,y3,y4,y5,y6,y7,y8
44,44,709.0664,20.074706,0,0,20.5855143,0,0,0,0,4.26723273e-05,-1.04332994e-05,0,0,0,0,0,0
45,45,709.095,20.0747074,0,0,20.5855185,0,0,0,0,4.26726547e-05,-1.04332958e-05,0,0,0,0,0,0
46,46,709.1226,20.0747086,0,0,20.5855219,0,0,0,0,4.26729093e-05,-1.04332921e-05,0,0,0,0,0,0
47,47,709.1506,20.0747095,0,0,20.5855245,0,0,0,0,4.26731094e-05,-1.04332894e-05,0,0,0,0,0,0
48,48,709.1787,20.0747102,0,0,20.5855266,0,0,0,0,4.26732695e-05,-1.04332876e-05,0,0,0,0,0,0
49,49,709.2064,20.0747108,0,0,20.5855283,0,0,0,0,4.26733895e-05,-1.04332858e-05,0,0,0,0,0,0
50,50,709.2347,20.0747112,0,0,20.5855296,0,0,0,0,4.26734805e-05,-1.04332839e-05,0,0,0,0,0,0
51,51,709.2617,20.0747116,0,0,20.5855306,0,0,0,0,4.26735533e-05,-1.04332839e-05,0,0,0,0,0,0
52,52,709.2894,20.0747119,0,0,20.5855315,0,0,0,0,4.26736042e-05,-1.0433283e-05,0,0,0,0,0,0
53,53,709.3189,20.0747121,0,0,20.5855321,0,0,0,0,4.26736478e-05,-1.04332812e-05,0,0,0,0,0,0
54,54,709.3519,20.0747123,0,0,20.5855326,0,0,0,0,4.26736806e-05,-1.04332812e-05,0,0,0,0,0,0
55,55,709.3998,20.0747124,0,0,20.585533,0,0,0,0,4.26737097e-05,-1.04332803e-05,0,0,0,0,0,0
56,56,709.4668,20.0747125,0,0,20.5855334,0,0,0,0,4.26737279e-05,-1.04332803e-05,0,0,0,0,0,0
57,57,709.4993,20.0747126,0,0,20.5855336,0,0,0,0,4.26737424e-05,-1.04332803e-05,0,0,0,0,0,0
58,58,709.5283,20.0747127,0,0,20.5855338,0,0,0,0,4.26737533e-05,-1.04332803e-05,0,0,0,0,0,0
59,59,709.5589,20.0747128,0,0,20.585534,0,0,0,0,4.26737643e-05,-1.04332803e-05,0,0,0,0,0,0
60,60,709.5869,20.0747128,0,0,20.5855341,0,0,0,0,4.26737715e-05,-1.04332803e-05,0,0,0,0,0,0
61,61,709.6144,20.0747128,0,0,20.5855342,0,0,0,0,4.26737752e-05,-1.04332803e-05,0,0,0,0,0,0
62,62,709.6419,20.0747129,0,0,20.5855343,0,0,0,0,4.26737788e-05,-1.04332803e-05,0,0,0,0,0,0
63,63,709.6687,20.0747129,0,0,20.5855344,0,0,0,0,4.26737824e-05,-1.04332803e-05,0,0,0,0,0,0
64,64,709.6957,20.0747129,0,0,20.5855344,0,0,0,0,4.26737861e-05,-1.04332803e-05,0,0,0,0,0,0
65,65,709.7219,20.0747129,0,0,20.5855345,0,0,0,0,4.26737897e-05,-1.04332803e-05,0,0,0,0,0,0
66,66,709.7499,20.0747129,0,0,20.5855345,0,0,0,0,4.26737897e-05,-1.04332803e-05,0,0,0,0,0,0
67,67,709.7766,20.0747129,0,0,20.5855345,0,0,0,0,4.26737897e-05,-1.04332803e-05,0,0,0,0,0,0
68,68,709.8036,20.0747129,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
69,69,709.8303,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
70,70,709.8565,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
71,71,709.8868,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
72,72,709.9146,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
73,73,709.9408,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
74,74,709.9673,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
75,75,709.9939,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
76,76,710.0204,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
77,77,710.0503,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
78,78,710.0787,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
79,79,710.1054,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
80,80,710.1425,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
81,81,710.1684,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
82,82,710.195,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
83,83,710.2217,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
84,84,710.2494,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
85,85,710.2759,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
