tick,u1,u2,u3,u4,u5,u6,u7,u8
142,10,0.0,0.0,30,0.0,0.0,0.0,0.0
143,10,0.0,0.0,30,0.0,0.0,0.0,0.0
144,10,0.0,0.0,30,0.0,0.0,0.0,0.0
145,10,0.0,0.0,30,0.0,0.0,0.0,0.0
146,30,0.0,0.0,30,0.0,0.0,0.0,0.0
147,30,0.0,0.0,30,0.0,0.0,0.0,0.0
148,30,0.0,0.0,30,0.0,0.0,0.0,0.0
149,30,0.0,0.0,30,0.0,0.0,0.0,0.0
150,30,0.0,0.0,30,0.0,0.0,0.0,0.0
151,30,0.0,0.0,10,0.0,0.0,0.0,0.0
152,30,0.0,0.0,10,0.0,0.0,0.0,0.0
153,30,0.0,0.0,10,0.0,0.0,0.0,0.0
154,30,0.0,0.0,10,0.0,0.0,0.0,0.0
155,30,0.0,0.0,10,0.0,0.0,0.0,0.0
156,30,0.0,0.0,10,0.0,0.0,0.0,0.0
157,30,0.0,0.0,10,0.0,0.0,0.0,0.0
158,30,0.0,0.0,10,0.0,0.0,0.0,0.0
159,30,0.0,0.0,10,0.0,0.0,0.0,0.0
160,30,0.0,0.0,10,0.0,0.0,0.0,0.0
161,10,0.0,0.0,30,0.0,0.0,0.0,0.0
162,10,0.0,0.0,30,0.0,0.0,0.0,0.0
163,10,0.0,0.0,30,0.0,0.0,0.0,0.0
164,10,0.0,0.0,30,0.0,0.0,0.0,0.0
165,10,0.0,0.0,30,0.0,0.0,0.0,0.0
166,10,0.0,0.0,10,0.0,0.0,0.0,0.0
167,10,0.0,0.0,10,0.0,0.0,0.0,0.0
168,10,0.0,0.0,10,0.0,0.0,0.0,0.0
169,10,0.0,0.0,10,0.0,0.0,0.0,0.0
170,10,0.0,0.0,10,0.0,0.0,0.0,0.0
171,30,0.0,0.0,10,0.0,0.0,0.0,0.0
172,30,0.0,0.0,10,0.0,0.0,0.0,0.0
173,30,0.0,0.0,10,0.0,0.0,0.0,0.0
174,30,0.0,0.0,10,0.0,0.0,0.0,0.0
175,30,0.0,0.0,10,0.0,0.0,0.0,0.0
176,30,0.0,0.0,30,0.0,0.0,0.0,0.0
177,30,0.0,0.0,30,0.0,0.0,0.0,0.0
178,30,0.0,0.0,30,0.0,0.0,0.0,0.0
179,30,0.0,0.0,30,0.0,0.0,0.0,0.0
180,30,0.0,0.0,30,0.0,0.0,0.0,0.0
181,10,0.0,0.0,10,0.0,0.0,0.0,0.0
182,10,0.0,0.0,10,0.0,0.0,0.0,0.0
183,10,0.0,0.0,10,0.0,0.0,0.0,0.0
184,10,0.0,0.0,10,0.0,0.0,0.0,0.0
185,10,0.0,0.0,10,0.0,0.0,0.0,0.0
186,10,0.0,0.0,10,0.0,0.0,0.0,0.0
187,10,0.0,0.0,10,0.0,0.0,0.0,0.0
188,10,0.0,0.0,10,0.0,0.0,0.0,0.0
189,10,0.0,0.0,10,0.0,0.0,0.0,0.0
190,10,0.0,0.0,10,0.0,0.0,0.0,0.0
191,30,0.0,0.0,30,0.0,0.0,0.0,0.0
192,30,0.0,0.0,30,0.0,0.0,0.0,0.0
193,30,0.0,0.0,30,0.0,0.0,0.0,0.0
194,30,0.0,0.0,30,0.0,0.0,0.0,0.0
195,30,0.0,0.0,30,0.0,0.0,0.0,0.0
196,10,0.0,0.0,10,0.0,0.0,0.0,0.0
197,10,0.0,0.0,10,0.0,0.0,0.0,0.0
198,10,0.0,0.0,10,0.0,0.0,0.0,0.0
199,10,0.0,0.0,10,0.0,0.0,0.0,0.0
200,10,0.0,0.0,10,0.0,0.0,0.0,0.0
201,10,0.0,0.0,30,0.0,0.0,0.0,0.0
202,10,0.0,0.0,30,0.0,0.0,0.0,0.0
203,10,0.0,0.0,30,0.0,0.0,0.0,0.0
204,10,0.0,0.0,30,0.0,0.0,0.0,0.0
205,10,0.0,0.0,30,0.0,0.0,0.0,0.0
206,10,0.0,0.0,30,0.0,0.0,0.0,0.0
207,10,0.0,0.0,30,0.0,0.0,0.0,0.0
208,10,0.0,0.0,30,0.0,0.0,0.0,0.0
209,10,0.0,0.0,30,0.0,0.0,0.0,0.0
210,10,0.0,0.0,30,0.0,0.0,0.0,0.0
211,10,0.0,0.0,10,0.0,0.0,0.0,0.0
212,10,0.0,0.0,10,0.0,0.0,0.0,0.0
213,10,0.0,0.0,10,0.0,0.0,0.0,0.0
214,10,0.0,0.0,10,0.0,0.0,0.0,0.0
215,10,0.0,0.0,10,0.0,0.0,0.0,0.0
216,10,0.0,0.0,30,0.0,0.0,0.0,0.0
217,10,0.0,0.0,30,0.0,0.0,0.0,0.0
218,10,0.0,0.0,30,0.0,0.0,0.0,0.0
219,10,0.0,0.0,30,0.0,0.0,0.0,0.0
220,10,0.0,0.0,30,0.0,0.0,0.0,0.0
221,30,0.0,0.0,30,0.0,0.0,0.0,0.0
222,30,0.0,0.0,30,0.0,0.0,0.0,0.0
223,30,0.0,0.0,30,0.0,0.0,0.0,0.0
224,30,0.0,0.0,30,0.0,0.0,0.0,0.0
225,30,0.0,0.0,30,0.0,0.0,0.0,0.0
226,10,0.0,0.0,30,0.0,0.0,0.0,0.0
227,10,0.0,0.0,30,0.0,0.0,0.0,0.0
228,10,0.0,0.0,30,0.0,0.0,0.0,0.0
229,10,0.0,0.0,30,0.0,0.0,0.0,0.0
230,10,0.0,0.0,30,0.0,0.0,0.0,0.0
231,10,0.0,0.0,30,0.0,0.0,0.0,0.0
232,10,0.0,0.0,30,0.0,0.0,0.0,0.0
233,10,0.0,0.0,30,0.0,0.0,0.0,0.0
234,10,0.0,0.0,30,0.0,0.0,0.0,0.0
235,10,0.0,0.0,30,0.0,0.0,0.0,0.0
236,30,0.0,0.0,30,0.0,0.0,0.0,0.0
237,30,0.0,0.0,30,0.0,0.0,0.0,0.0
238,30,0.0,0.0,30,0.0,0.0,0.0,0.0
239,30,0.0,0.0,30,0.0,0.0,0.0,0.0
240,30,0.0,0.0,30,0.0,0.0,0.0,0.0
241,10,0.0,0.0,30,0.0,0.0,0.0,0.0
242,10,0.0,0.0,30,0.0,0.0,0.0,0.0
243,10,0.0,0.0,30,0.0,0.0,0.0,0.0
244,10,0.0,0.0,30,0.0,0.0,0.0,0.0
245,10,0.0,0.0,30,0.0,0.0,0.0,0.0
246,30,0.0,0.0,10,0.0,0.0,0.0,0.0
247,30,0.0,0.0,10,0.0,0.0,0.0,0.0
248,30,0.0,0.0,10,0.0,0.0,0.0,0.0
249,30,0.0,0.0,10,0.0,0.0,0.0,0.0
250,30,0.0,0.0,10,0.0,0.0,0.0,0.0
251,10,0.0,0.0,10,0.0,0.0,0.0,0.0
252,10,0.0,0.0,10,0.0,0.0,0.0,0.0
253,10,0.0,0.0,10,0.0,0.0,0.0,0.0
254,10,0.0,0.0,10,0.0,0.0,0.0,0.0
255,10,0.0,0.0,10,0.0,0.0,0.0,0.0
256,10,0.0,0.0,30,0.0,0.0,0.0,0.0
257,10,0.0,0.0,30,0.0,0.0,0.0,0.0
258,10,0.0,0.0,30,0.0,0.0,0.0,0.0
259,10,0.0,0.0,30,0.0,0.0,0.0,0.0
260,10,0.0,0.0,30,0.0,0.0,0.0,0.0
261,30,0.0,0.0,10,0.0,0.0,0.0,0.0
262,30,0.0,0.0,10,0.0,0.0,0.0,0.0
263,30,0.0,0.0,10,0.0,0.0,0.0,0.0
264,30,0.0,0.0,10,0.0,0.0,0.0,0.0
265,30,0.0,0.0,10,0.0,0.0,0.0,0.0
266,30,0.0,0.0,10,0.0,0.0,0.0,0.0
267,30,0.0,0.0,10,0.0,0.0,0.0,0.0
268,30,0.0,0.0,10,0.0,0.0,0.0,0.0
269,30,0.0,0.0,10,0.0,0.0,0.0,0.0
270,30,0.0,0.0,10,0.0,0.0,0.0,0.0
271,30,0.0,0.0,30,0.0,0.0,0.0,0.0
272,30,0.0,0.0,30,0.0,0.0,0.0,0.0
273,30,0.0,0.0,30,0.0,0.0,0.0,0.0
274,30,0.0,0.0,30,0.0,0.0,0.0,0.0
275,30,0.0,0.0,30,0.0,0.0,0.0,0.0
276,10,0.0,0.0,30,0.0,0.0,0.0,0.0
277,10,0.0,0.0,30,0.0,0.0,0.0,0.0
278,10,0.0,0.0,30,0.0,0.0,0.0,0.0
279,10,0.0,0.0,30,0.0,0.0,0.0,0.0
280,10,0.0,0.0,30,0.0,0.0,0.0,0.0
281,30,0.0,0.0,10,0.0,0.0,0.0,0.0
282,30,0.0,0.0,10,0.0,0.0,0.0,0.0
283,30,0.0,0.0,10,0.0,0.0,0.0,0.0
284,30,0.0,0.0,10,0.0,0.0,0.0,0.0
285,30,0.0,0.0,10,0.0,0.0,0.0,0.0
